"player_info","rank","bye","owner_2018","fantasy_pts_proj"
"Ryan Tannehill / Ten / QB","540","11","FA","0"
"Tre Madden / Sea / RB","542","11","FA","0"
"Brandon Weeden / Hou / QB","544","10","FA","0"
"Brock Osweiler / Mia / QB","549","5","FA","0"
"Josh Woodrum / Was / QB","552","10","FA","0"
"D.J. Foster / Ari / RB","553","12","FA","0"
"Elijhaa Penny / NYG / RB","555","11","FA","0"
"C.J. Ham / Min / RB","560","12","FA","0"
"Alfred Morris / Dal / RB","567","8","FA","0"
"Brian Hoyer / NE / QB","570","10","FA","0"
"Troymaine Pope / LAC / RB","573","12","FA","0"
"Travaris Cadet / Car / RB","579","7","FA","0"
"Chase Daniel / Chi / QB","581","6","FA","0"
"DeShone Kizer / GB / QB","582","11","FA","0"
"Davis Webb / NYJ / QB","585","4","FA","0"
"C.J. Beathard / SF / QB","587","4","FA","0"
"Samaje Perine / Was / RB","589","10","FA","0"
"Donnel Pumphrey / Phi / RB","593","10","FA","0"
"Joshua Dobbs / Pit / QB","594","7","FA","0"
"Jeremy McNichols / Ten / RB","599","11","FA","0"
"Nathan Peterman / Oak / QB","601","6","FA","0"
"Alex Armah / Car / RB","604","7","FA","0"
"De'Angelo Henderson / Min / RB","606","12","FA","0"
"Devante Mays / Jax / RB","610","10","FA","0"
"Elijah Hood / Jax / RB","612","10","FA","0"
"Khalfani Muhammad / Den / RB","613","10","FA","0"
"Matt Dayes / NO / RB","616","9","FA","0"
"Chad Kelly / Ind / QB","617","6","FA","0"
"Matt Simms / Atl / QB","624","9","FA","0"
"Phillip Walker / Ind / QB","645","6","FA","0"
"Josh McCown / Phi / QB","646","10","FA","0"
"Nick Mullens / SF / QB","650","4","FA","0"
"Alex Tanney / NYG / QB","661","11","FA","0"
"EJ Manuel / KC / QB","672","12","FA","0"
"Geno Smith / Sea / QB","676","11","FA","0"
"Cooper Rush / Dal / QB","680","8","FA","0"
"Mike Glennon / Oak / QB","681","6","FA","0"
"Matt Barkley / Buf / QB","686","6","FA","0"
"Kyle Sloter / Min / QB","687","12","FA","0"
"Landry Jones / Oak / QB","690","6","FA","0"
"Ryan Griffin / TB / QB","709","7","FA","0"
"Mason Rudolph / Pit / QB","710","7","FA","0"
"Kyle Lauletta / NYG / QB","711","11","FA","0"
"Mike White / Dal / QB","720","8","FA","0"
"Luke Falk / NYJ / QB","725","4","FA","0"
"Tanner Lee / Jax / QB","727","10","FA","0"
"Danny Etling / Atl / QB","730","9","FA","0"
"Alex McGough / Jax / QB","731","10","FA","0"
"Logan Woodside / Ten / QB","737","11","FA","0"
"Tyler Bray / Chi / QB","750","6","FA","0"
"Kyle Allen / Car / QB","757","7","FA","0"
"Charles Kanoff / Ari / QB","759","12","FA","0"
"Kurt Benkert / Atl / QB","768","9","FA","0"
"J.T. Barrett IV / Sea / QB","773","11","FA","0"
"Matt Schaub / Atl / QB","787","9","FA","0"
"Tim Boyle / GB / QB","789","11","FA","0"
"Chase Litton / KC / QB","800","12","FA","0"
"Blake Bortles / LAR / QB","824","9","FA","0"
"Teddy Bridgewater / NO / QB","831","9","FA","0"
"Brogan Roback / Pit / QB","839","7","FA","0"
"Luis Perez / Phi / QB","848","10","FA","0"
"Alex Smith / Was / QB","856","10","FA","0"
"Phil Dawson / Cle / K","1167","7","FA","0"
"Sebastian Janikowski / Sea / K","1168","11","FA","0"
"Nick Rose / LAC / K","1169","12","FA","0"
"Taylor Bertolet / NYJ / K","1170","4","FA","0"
"Kai Forbath / Jax / K","1171","10","FA","0"
"Jonathan Brown / SF / K","1172","4","FA","0"
"Sam Ficken / GB / K","1173","11","FA","0"
"Matt Bryant / Atl / K","1174","9","FA","0"
"Matt McCrane / Pit / K","1175","7","FA","0"
"Kaare Vedvik / Min / K","1176","12","FA","0"
"Eddy Pineiro / Chi / K","1177","6","FA","0"
"Austin Barnard / Ten / K","1178","11","FA","0"
"Mike Nugent / Oak / K","1179","6","FA","0"
"Tristan Vizcaino / Cin / K","1180","9","FA","0"
"Redford Jones / Chi / K","1181","6","FA","0"
"Phillip Andersen / TB / K","1182","7","FA","0"
"Chris Blewitt / Chi / K","1183","6","FA","0"
"Cole Murphy / Ari / K","1184","12","FA","0"
"Elliott Fry / Chi / K","1185","6","FA","0"
"Matt Gay / TB / K","1186","7","FA","0"
"Austin Seibert / Cle / K","1187","7","FA","0"
"Cody Parkey / Chi / K","1188","6","WU NAME PENDING","0"
"Matthew Wright / Pit / K","1189","7","FA","0"
"Chandler Catanzaro / NYJ / K","1190","4","FA","0"
"John Baron II / Chi / K","1191","6","FA","0"
"Clayton Hatfield / Ind / K","1192","6","FA","0"
"Cole Hedlund / Ind / K","1193","6","FA","0"
"Joey Slye / Car / K","1194","7","FA","0"
"Chase McLaughlin / Buf / K","1195","6","FA","0"
