"player_info","rank","bye","owner_2018","fantasy_pts_proj"
"Calvin Ridley / Atl / WR","104","9","mouse rat","138"
"Chicago / Chi / DEF","105","6","mouse rat","138"
"A.J. Green / Cin / WR","106","9","Hoboken SquatCobbler","135"
"Brett Maher / Dal / K","107","8","FA","135"
"Cooper Kupp / LAR / WR","108","9","Hoboken SquatCobbler","133"
"Mason Crosby / GB / K","109","11","FA","133"
"Marquise Brown / Bal / WR","110","8","FA","133"
"Robbie Gould / SF / K","111","4","Hoboken SquatCobbler","133"
"Graham Gano / Car / K","112","7","FA","133"
"Sammy Watkins / KC / WR","113","12","FA","132"
"Jake Elliott / Phi / K","114","10","FA","132"
"Michael Badgley / LAC / K","115","12","FA","131"
"Dede Westbrook / Jax / WR","116","10","FA","130"
"Chris Boswell / Pit / K","117","7","mouse rat","130"
"Aldrick Rosas / NYG / K","118","11","FA","130"
"Hunter Henry / LAC / TE","119","12","FA","130"
"Chris Godwin / TB / WR","120","7","Grey Nut Grabbers","129"
"Giorgio Tavecchio / Atl / K","121","9","FA","129"
"Dan Bailey / Min / K","122","12","FA","129"
"Los Angeles / LAR / DEF","123","9","teddy bear suicide","128"
"O.J. Howard / TB / TE","124","7","FA","128"
"Carlos Hyde / KC / RB","125","12","FA","127"
"Allen Robinson II / Chi / WR","126","6","WU NAME PENDING","127"
"Peyton Barber / TB / RB","127","7","The White Walkers","127"
"Dustin Hopkins / Was / K","128","10","FA","126"
"New England / NE / DEF","129","10","He Hate Me","126"
"Tyler Lockett / Sea / WR","130","11","Hoboken SquatCobbler","128"
"Dion Lewis / Ten / RB","131","11","FA","125"
"John Brown / Buf / WR","132","6","FA","125"
"Matt Prater / Det / K","133","5","FA","125"
"Cleveland / Cle / DEF","134","7","FA","123"
"Christian Kirk / Ari / WR","135","12","FA","122"
"Austin Ekeler / LAC / RB","136","12","C$","120"
"Baltimore / Bal / DEF","137","8","TheFlawlessVictories","120"
"Vance McDonald / Pit / TE","138","7","C$","120"
"Emmanuel Sanders / Den / WR","139","10","FA","120"
"Stephen Hauschka / Buf / K","140","6","FA","120"
"Daniel Carlson / Oak / K","141","6","FA","119"
"Devin Funchess / Ind / WR","142","6","ChildPlease","119"
"LeSean McCoy / Buf / RB","143","6","mouse rat","118"
"Josh Lambo / Jax / K","144","10","FA","118"
"Chris Carson / Sea / RB","145","11","WU NAME PENDING","118"
"Jaylen Samuels / Pit / RB","146","7","He Hate Me","118"
"Mohamed Sanu / Atl / WR","147","9","The White Walkers","117"
"David Njoku / Cle / TE","148","7","TheFlawlessVictories","117"
"Evan Engram / NYG / TE","149","11","WU NAME PENDING","117"
"Tyrell Williams / Oak / WR","150","6","FA","117"
"David Montgomery / Chi / RB","151","6","FA","116"
"New Orleans / NO / DEF","152","9","FA","116"
"Dante Pettis / SF / WR","153","4","teddy bear suicide","116"
"Jared Cook / NO / TE","154","9","TheFlawlessVictories","116"
"Ryan Succop / Ten / K","155","11","FA","116"
"DeSean Jackson / Phi / WR","156","10","FA","116"
"Marvin Jones Jr. / Det / WR","157","5","C$","115"
"Randy Bullock / Cin / K","158","9","FA","114"
"Delanie Walker / Ten / TE","159","11","FA","114"
"Donte Moncrief / Pit / WR","160","7","FA","113"
"Los Angeles / LAC / DEF","161","12","FA","112"
"Jason Sanders / Mia / K","162","5","FA","112"
"Kansas City / KC / DEF","163","12","FA","111"
"Philadelphia / Phi / DEF","164","10","FA","110"
"Will Fuller V / Hou / WR","165","10","FA","110"
