"player_info","rank","bye","fantasy_pts_proj","position","rec_td_proj","rec_yds_proj","rec_tgt_proj","owner_2018"
"David Moore / Sea / WR","246","11","76","WR","4.1","511","64","FA"
"Zay Jones / Buf / WR","247","6","75","WR","3.3","533","80","FA"
"Jakeem Grant / Mia / WR","249","5","74","WR","3.1","524","64","FA"
"Richie James Jr. / SF / WR","250","4","74","WR","3.6","526","63.2","FA"
"Golden Tate / NYG / WR","253","11","73","WR","2.3","579","84","C$"
"Jordan Matthews / SF / WR","255","4","71","WR","3.2","521","62.7","FA"
"Willie Snead IV / Bal / WR","257","8","71","WR","1.1","634","95","FA"
"Kevin White / Ari / WR","262","12","70","WR","4.0","455","61.9","FA"
"Antonio Callaway / Cle / WR","263","7","69","WR","2.8","516","60","FA"
"Mecole Hardman / KC / WR","265","12","68","WR","3.6","466","52.8","FA"
"Andy Isabella / Ari / WR","266","12","68","WR","1.9","494","57.9","FA"
"Randall Cobb / Dal / WR","267","8","67","WR","2.8","506","80","ChildPlease"
"Trey Quinn / Was / WR","268","10","66","WR","1.8","554","83.8","FA"
"N'Keal Harry / NE / WR","269","10","62","WR","2.5","452","48.2","FA"
"Danny Amendola / Det / WR","270","5","65","WR","2.0","532","80","FA"
"Josh Reynolds / LAR / WR","273","9","65","WR","2.4","502","64","FA"
"Deebo Samuel / SF / WR","274","4","64","WR","3.1","436","52.5","FA"
"Demarcus Robinson / KC / WR","275","12","64","WR","3.5","429","52.8","FA"
"Keelan Cole / Jax / WR","278","10","62","WR","1.9","507","64","FA"
"Parris Campbell / Ind / WR","282","6","61","WR","2.8","409","50.6","FA"
"Cordarrelle Patterson / Chi / WR","285","6","61","WR","1.7","242","32","FA"
"D.J. Chark Jr. / Jax / WR","291","10","57","WR","1.3","489","64","FA"
"Cole Beasley / Buf / WR","292","6","55","WR","1.8","441","64","The White Walkers"
"Geronimo Allison / GB / WR","297","11","54","WR","2.3","399","51","FA"
"Chris Conley / Jax / WR","298","10","54","WR","2.7","373","49","FA"
"Ryan Switzer / Pit / WR","299","7","53","WR","1.1","435","64","FA"
"Seth Roberts / Bal / WR","301","8","52","WR","1.0","463","63","FA"
"Breshad Perriman / TB / WR","304","7","51","WR","1.4","430","49","FA"
"DaeSean Hamilton / Den / WR","305","10","51","WR","1.9","398","66","FA"
"Chris Moore / Bal / WR","307","8","51","WR","1.8","384","49","FA"
"Chris Hogan / Car / WR","308","7","50","WR","2.0","375","48","FA"
"Eli Rogers / Pit / WR","310","7","48","WR","2.2","343","48","FA"
"Ryan Grant / Oak / WR","313","6","47","WR","1.0","412","64","FA"
"Trent Taylor / SF / WR","314","4","47","WR","1.0","405","61.3","FA"
"Chad Williams / Ari / WR","315","12","47","WR","2.1","336","48","FA"
"Kendrick Bourne / SF / WR","317","4","46","WR","2.0","339","48","FA"
"Taywan Taylor / Ten / WR","318","11","45","WR","1.0","396","48","FA"
"Jarius Wright / Car / WR","320","7","45","WR","1.0","362","49","FA"
"Torrey Smith / Car / WR","321","7","44","WR","1.8","336","48","FA"
"Tim Patrick / Den / WR","322","10","44","WR","1.2","351","49","FA"
"Miles Boykin / Bal / WR","325","8","42","WR","1.4","332","43.2","FA"
"Travis Benjamin / LAC / WR","329","12","40","WR","0.9","311","34","FA"
"Rashard Higgins / Cle / WR","331","7","39","WR","1.3","311","35","FA"
"Allen Hurns / Mia / WR","332","5","38","WR","1.1","319","45","FA"
"A.J. Brown / Ten / WR","336","11","37","WR","1.7","271","33.9","FA"
"Chester Rogers / Ind / WR","337","6","37","WR","0.9","316","48","FA"
"Hakeem Butler / Ari / WR","339","12","37","WR","1.9","251","30.6","FA"
"Chad Beebe / Min / WR","343","12","35","WR","0","345","51.2","FA"
"Braxton Miller / Phi / WR","348","10","0","WR","0","0","0","FA"
"Preston Williams / Mia / WR","350","5","30","WR","1.1","234","31.5","FA"
"Terry McLaurin / Was / WR","351","10","32","WR","1.0","256","33.4","FA"
"Zach Pascal / Ind / WR","352","6","32","WR","0","316","48","FA"
"Keith Kirkwood / NO / WR","353","9","32","WR","0.8","269","32","FA"
"Maurice Harris / NE / WR","356","10","29","WR","0.7","250","30","FA"
"Tajae Sharpe / Ten / WR","360","11","29","WR","0.9","227","32","FA"
"KeeSean Johnson / Ari / WR","366","12","27","WR","0.7","221","33.6","FA"
"Tavon Austin / Dal / WR","367","8","26","WR","0.8","103","16","FA"
"Cody Latimer / NYG / WR","368","11","26","WR","0.5","229","32","FA"
"Gary Jennings / Sea / WR","371","11","25","WR","1.2","180","20.8","FA"
"Laquon Treadwell / Min / WR","372","12","25","WR","0.9","199","32","FA"
"Alex Erickson / Cin / WR","374","9","25","WR","0","186","32","FA"
"DeAndre Carter / Hou / WR","377","10","23","WR","0","228","32","FA"
"Jake Kumerow / GB / WR","381","11","21","WR","1.2","134","18","FA"
"John Ursua / Sea / WR","383","11","19","WR","0","194","28.8","FA"
"Russell Gage / Atl / WR","386","9","18","WR","1.3","103","19.6","FA"
"Jaron Brown / Sea / WR","388","11","18","WR","0.8","127","16","FA"
"Deon Cain / Ind / WR","390","6","17","WR","0","165","22.4","FA"
"Justin Hardy / Atl / WR","391","9","16","WR","0.8","107","16","FA"
"Vyncint Smith / Hou / WR","393","10","14","WR","0","143","19.2","FA"
"Andre Roberts / Buf / WR","398","6","13","WR","0","65.3","16","FA"
"Kelvin McKnight / Den / WR","399","10","12","WR","0.8","65.4","12.8","FA"
"Marvin Hall / Chi / WR","402","6","9","WR","0","92.9","15.6","FA"
"Darius Jennings / Ten / WR","403","11","9","WR","0","88.6","15.6","FA"
"Jordan Taylor / Min / WR","417","12","2","WR","0.0","16.1","2.2","FA"
"Dontrelle Inman / NE / WR","418","10","2","WR","0.0","15","1.7","FA"
