"player_info","rank","bye","owner_2018","fantasy_pts_proj"
"Justin Tucker / Bal / K","80","8","The White Walkers","150"
"Peyton Barber / TB / RB","127","7","The White Walkers","127"
"Mohamed Sanu / Atl / WR","147","9","The White Walkers","117"
"Jacksonville / Jax / DEF","185","10","The White Walkers","101"
"Kyle Rudolph / Min / TE","193","12","The White Walkers","99"
"Adrian Peterson / Was / RB","207","10","The White Walkers","93"
"Demaryius Thomas / NE / WR","229","10","The White Walkers","84"
"Cincinnati / Cin / DEF","238","9","The White Walkers","79"
"Cole Beasley / Buf / WR","292","6","The White Walkers","55"
"Patrick Mahomes / KC / QB","1","12","TheFlawlessVictories","386"
"Cam Newton / Car / QB","8","7","TheFlawlessVictories","298"
"Alvin Kamara / NO / RB","19","9","TheFlawlessVictories","265"
"David Johnson / Ari / RB","36","12","TheFlawlessVictories","225"
"Odell Beckham Jr. / Cle / WR","48","7","TheFlawlessVictories","202"
"Tyreek Hill / KC / WR","50","12","TheFlawlessVictories","201"
"Robert Woods / LAR / WR","67","9","TheFlawlessVictories","171"
"Robby Anderson / NYJ / WR","90","4","TheFlawlessVictories","145"
"Tyler Boyd / Cin / WR","95","9","TheFlawlessVictories","142"
"Adam Vinatieri / Ind / K","103","6","TheFlawlessVictories","138"
"Baltimore / Bal / DEF","137","8","TheFlawlessVictories","120"
"David Njoku / Cle / TE","148","7","TheFlawlessVictories","117"
"Jared Cook / NO / TE","154","9","TheFlawlessVictories","116"
"Tennessee / Ten / DEF","203","11","TheFlawlessVictories","95"
"Baker Mayfield / Cle / QB","6","7","WU NAME PENDING","303"
"Tom Brady / NE / QB","23","10","WU NAME PENDING","252"
"Le'Veon Bell / NYJ / RB","30","4","WU NAME PENDING","232"
"Marlon Mack / Ind / RB","43","6","WU NAME PENDING","206"
"Phillip Lindsay / Den / RB","54","10","WU NAME PENDING","192"
"Devonta Freeman / Atl / RB","60","9","WU NAME PENDING","186"
"Allen Robinson II / Chi / WR","126","6","WU NAME PENDING","127"
"Chris Carson / Sea / RB","145","11","WU NAME PENDING","118"
"Evan Engram / NYG / TE","149","11","WU NAME PENDING","117"
"Indianapolis / Ind / DEF","169","6","WU NAME PENDING","108"
"Kenny Stills / Mia / WR","182","5","WU NAME PENDING","104"
"Robert Foster / Buf / WR","188","6","WU NAME PENDING","100"
"Cody Parkey / Chi / K","1188","6","WU NAME PENDING","0"
