"player_info","rank","bye","fantasy_pts_proj","position","rec_td_proj","rec_yds_proj","rec_tgt_proj","owner_2018"
"Will Tye / Phi / TE","451","10","0","TE","0","0","0","FA"
"Manasseh Garner / KC / TE","456","12","0","TE","0","0","0","FA"
"Daniel Brown / NYJ / TE","457","4","0","TE","0","0","0","FA"
"Ross Travis / Ind / TE","459","6","0","TE","0","0","0","FA"
"Seth DeValve / Cle / TE","475","7","0","TE","0","0","0","FA"
"Kyle Nelson / SF / TE","477","4","0","TE","0","0","0","FA"
"Temarrick Hemingway / Car / TE","485","7","0","TE","0","0","0","FA"
"Moritz Boehringer / Cin / TE","486","9","0","TE","0","0","0","FA"
"Jerell Adams / Hou / TE","489","10","0","TE","0","0","0","FA"
"David Morgan / Min / TE","491","12","0","TE","0","0","0","FA"
"Rico Gathers / Cle / TE","501","7","0","TE","0","0","0","FA"
"Thomas Duarte / Car / TE","503","7","0","TE","0","0","0","FA"
"Patrick Scales / Chi / TE","504","6","0","TE","0","0","0","FA"
"Jake McGee / Pit / TE","507","7","0","TE","0","0","0","FA"
"Kyle Carter / Buf / TE","510","6","0","TE","0","0","0","FA"
"Alan Cross / TB / TE","512","7","0","TE","0","0","0","FA"
"Henry Krieger-Coble / LAR / TE","516","9","0","TE","0","0","0","FA"
"Joshua Perkins / Phi / TE","518","10","0","TE","0","0","0","FA"
