"player_info","rank","bye","fantasy_pts_proj","position","rush_td_proj","rush_yds_proj","rush_att_proj","owner_2018"
"Devin Singletary / Buf / RB","345","6","34","RB","2.1","187","45.0","FA"
"Wayne Gallman Jr. / NYG / RB","346","11","34","RB","0.9","191","48","FA"
"Trenton Cannon / NYJ / RB","357","4","30","RB","1.2","134","32","FA"
"Damien Harris / NE / RB","359","10","29","RB","2.0","180","40","FA"
"Kyle Juszczyk / SF / RB","363","4","27","RB","0","2.6","0.5","FA"
"Darwin Thompson / KC / RB","365","12","27","RB","0.8","139","27.6","FA"
"John Kelly / LAR / RB","369","9","26","RB","0.9","130","32","FA"
"Zach Zenner / Det / RB","370","5","26","RB","0.9","203","48","FA"
"Darren Sproles / Phi / RB","373","10","25","RB","0","65.9","16","FA"
"Chase Edmonds / Ari / RB","376","12","23","RB","0.2","85.6","18.9","FA"
"Elijah McGuire / NYJ / RB","378","4","22","RB","0","133","32","FA"
"Josh Adams / Phi / RB","382","10","20","RB","1.0","139","32","FA"
"Bilal Powell / NYJ / RB","387","4","18","RB","0.3","59.6","16","FA"
"Damarea Crockett / Hou / RB","389","10","18","RB","0","91.3","22.4","FA"
"Dwayne Washington / NO / RB","392","9","15","RB","0","152","32","FA"
"James Develin / NE / RB","405","10","8","RB","0.3","0.3","0.5","FA"
"Paul Perkins / NYG / RB","407","11","8","RB","0","75.7","19.2","FA"
"Detrez Newsome / LAC / RB","408","12","7","RB","0","74.0","16.5","FA"
"Darrel Williams / KC / RB","409","12","7","RB","0","71.5","16","FA"
"Jeff Wilson Jr. / SF / RB","410","4","7","RB","0","69.3","16","Grey Nut Grabbers"
"Mike Boone / Min / RB","411","12","6","RB","0","62.9","14.4","FA"
"Alexander Mattison / Min / RB","412","12","6","RB","0.4","29.4","6.8","FA"
"Ty Johnson / Det / RB","413","5","5","RB","0","51.1","12.8","FA"
"Doug Martin / Oak / RB","415","6","4","RB","0.2","22.4","5.6","ChildPlease"
"Spencer Ware / Ind / RB","420","6","1","RB","0.1","6.7","1.6","C$"
"Ameer Abdullah / Min / RB","421","12","1","RB","0.1","2.9","0.7","FA"
"T.J. Logan / Ari / RB","423","12","1","RB","0","1.3","0.9","FA"
"Thomas Rawls / Jax / RB","428","10","0","RB","0","0","0","FA"
"Rod Smith / NYG / RB","429","11","0","RB","0","0","0","FA"
"Marshawn Lynch / Oak / RB","431","6","0","RB","0","0","0","FA"
"Corey Grant / GB / RB","435","11","0","RB","0","0","0","FA"
"Akeem Hunt / Ten / RB","436","11","0","RB","0","0","0","FA"
"Stevan Ridley / Pit / RB","440","7","0","RB","0","0","0","FA"
"Taiwan Jones / Hou / RB","445","10","0","RB","0","0","0","FA"
"Anthony Sherman / KC / RB","446","12","0","RB","0","0","0","FA"
"Jacquizz Rodgers / NO / RB","448","9","0","RB","0","0","0","FA"
"Mack Brown / Oak / RB","455","6","0","RB","0","0","0","FA"
"Patrick DiMarco / Buf / RB","461","6","0","RB","0","0","0","FA"
"Jonathan Stewart / Car / RB","463","7","0","RB","0","0","0","FA"
"C.J. Prosise / Sea / RB","467","11","0","RB","0","0","0","FA"
"Tyler Ervin / Bal / RB","474","8","0","RB","0","0","0","FA"
"Jonathan Williams / Ind / RB","478","6","0","RB","0","0","0","FA"
"Nick Bellore / Sea / RB","479","11","0","RB","0","0","0","FA"
"Alex Collins / Bal / RB","482","8","0","RB","0","0","0","Hoboken SquatCobbler"
"Andy Janovich / Den / RB","483","10","0","RB","0","0","0","FA"
"Danny Vitale / GB / RB","493","11","0","RB","0","0","0","FA"
"Derek Watt / LAC / RB","494","12","0","RB","0","0","0","FA"
"Darius Jackson / Dal / RB","500","8","0","RB","0","0","0","FA"
